date,state,NYCPI,NYUnemployment,NYCondoPriceIdx,NYSnapBenefits
2007-06-01,NY,659.861,4.5,228.29,1801707
2007-07-01,NY,660.931,4.6,228.16,1792916
2007-08-01,NY,660.06,4.7,227.16,1816805
2007-09-01,NY,660.006,4.7,226.14,1823494
2007-10-01,NY,660.713,4.8,225.96,1825759
2007-11-01,NY,663.464,4.8,226.88,1830858
2007-12-01,NY,663.15,4.8,226.76,1849851
2008-01-01,NY,664.52,4.8,227.19,1932022
2008-02-01,NY,667.848,4.9,229.21,1927903
2008-03-01,NY,673.924,4.9,231.26,1950582
2008-04-01,NY,675.948,5,228.59,1968193
2008-05-01,NY,682.68,5.1,226.87,1986156
2008-06-01,NY,689.702,5.2,225.55,2004511
2008-07-01,NY,694.595,5.4,224.47,2030668
2008-08-01,NY,695.396,5.5,223.54,2051611
2008-09-01,NY,694.064,5.7,221.65,2077774
2008-10-01,NY,689.19,6,219.96,2114221
2008-11-01,NY,677.9,6.3,218.3,2137106
2008-12-01,NY,673.604,6.7,215.51,2174325
2009-01-01,NY,674.732,7.1,213.6,2211935
2009-02-01,NY,678.378,7.5,211.56,2246664
2009-03-01,NY,679.546,7.8,208.41,2295103
2009-04-01,NY,681.035,8.1,204.02,2339118
2009-05-01,NY,682.171,8.3,201.63,2384027
2009-06-01,NY,685.631,8.4,199.02,2427841
2009-07-01,NY,686.869,8.5,197.13,2478604
2009-08-01,NY,688.841,8.7,196.38,2508884
2009-09-01,NY,689.668,8.8,196.04,2555081
2009-10-01,NY,689.123,8.8,197.12,2599938
2009-11-01,NY,690.272,8.9,197.42,2623264
2009-12-01,NY,689.261,8.9,198.99,2673143
2010-01-01,NY,690.828,8.9,199.47,2699586
2010-02-01,NY,690.517,8.8,198.91,2712437
2010-03-01,NY,694.099,8.8,199.69,2754632
2010-04-01,NY,695.337,8.7,200.61,2775875
2010-05-01,NY,696.916,8.6,202.38,2799734
2010-06-01,NY,696.168,8.5,199.68,2824845
2010-07-01,NY,697.123,8.5,198.98,2860394
2010-08-01,NY,698.342,8.5,198,2874189
2010-09-01,NY,698.099,8.5,199.7,2895995
2010-10-01,NY,699.532,8.5,198.58,2918849
2010-11-01,NY,699.473,8.4,199.31,2934493
2010-12-01,NY,699.225,8.4,195.94,2969868
2011-01-01,NY,701.436,8.3,194.84,2971876
2011-02-01,NY,704.884,8.2,195.52,2975444
2011-03-01,NY,710.044,8.1,195.9,3013945
2011-04-01,NY,712.565,8.1,197.43,3017404
2011-05-01,NY,717.146,8.1,195.1,3019981
2011-06-01,NY,718.394,8.2,197.07,3035825
2011-07-01,NY,720.299,8.3,197.17,3043751
2011-08-01,NY,722.882,8.3,198.61,3040684
2011-09-01,NY,724.331,8.4,197.92,3057767
2011-10-01,NY,722.862,8.5,197.09,3060107
2011-11-01,NY,720.74,8.5,195.88,3046972
2011-12-01,NY,717.82,8.6,194.64,3068575
2012-01-01,NY,720.754,8.6,193.72,3059120
2012-02-01,NY,723.54,8.6,192.37,3059262
2012-03-01,NY,728.171,8.7,194.06,3081831
2012-04-01,NY,729.507,8.7,194.18,3063238
2012-05-01,NY,730.381,8.7,198.36,3082995
2012-06-01,NY,729.67,8.7,201.56,3095534
2012-07-01,NY,728.545,8.6,203.58,3094677
2012-08-01,NY,732.751,8.5,204.55,3109436
2012-09-01,NY,735.879,8.4,203.99,3101190
2012-10-01,NY,735.08,8.3,205.85,3110070
2012-11-01,NY,735.102,8.2,207.49,3152122
2012-12-01,NY,732.992,8.2,209.8,3186236
2013-01-01,NY,736.613,8.1,210.8,3158541
2013-02-01,NY,740.736,8.1,212.47,3153979
2013-03-01,NY,741.764,8,213.11,3182976
2013-04-01,NY,739.965,7.9,214.64,3181218
2013-05-01,NY,740.84,7.8,215.84,3183287
2013-06-01,NY,742.694,7.8,215.44,3186788
2013-07-01,NY,743.894,7.7,216.61,3194470
2013-08-01,NY,744.855,7.7,218.43,3186530
2013-09-01,NY,747.3,7.6,224.95,3169363
2013-10-01,NY,743.15,7.4,225.88,3170323
2013-11-01,NY,744.042,7.3,229.03,3156551
2013-12-01,NY,743.771,7.1,226.34,3158376
2014-01-01,NY,750.456,7,230.8,3148532
2014-02-01,NY,748.789,6.8,232.78,3114414
2014-03-01,NY,751.541,6.7,234.22,3109524
2014-04-01,NY,751.579,6.6,234.49,3103477
2014-05-01,NY,755.164,6.5,235.72,3101888
2014-06-01,NY,755.527,6.4,236.64,3094747
2014-07-01,NY,755.953,6.2,238.52,3088298
2014-08-01,NY,754.731,6.1,238.52,3075125
2014-09-01,NY,754.728,6,239.56,3066686
2014-10-01,NY,753.07,6,238.73,3068825
2014-11-01,NY,749.838,5.9,240.16,3057644
2014-12-01,NY,746.075,5.8,241.62,3075720
2015-01-01,NY,746.929,5.7,244.12,3055942
2015-02-01,NY,749.427,5.7,245.12,3045194
2015-03-01,NY,750.602,5.6,245.93,3050058
2015-04-01,NY,751.506,5.5,248.14,3039251
2015-05-01,NY,754.705,5.4,250.48,3027230
2015-06-01,NY,755.996,5.3,252.93,3028373
2015-07-01,NY,755.091,5.2,254.15,3017604
2015-08-01,NY,755.517,5,255.54,3001608
2015-09-01,NY,757.08,5,256.57,3001849
2015-10-01,NY,756.003,4.9,256.58,2996649
2015-11-01,NY,754.54,4.9,257.21,2982398
2015-12-01,NY,751.453,4.9,256.84,2990471
2016-01-01,NY,752.612,4.9,258.53,2975036
2016-02-01,NY,754.153,4.8,259.8,2972012
2016-03-01,NY,755.983,4.8,260.62,2972806
2016-04-01,NY,759.194,4.8,257.23,2961955
2016-05-01,NY,761.198,4.8,259.21,2965167
2016-06-01,NY,762.832,4.9,260.65,2953595
2016-07-01,NY,762.383,4.9,261.88,2941315
2016-08-01,NY,763.651,4.9,262.28,2957116
2016-09-01,NY,764.929,5,261.12,2950208
2016-10-01,NY,765.32,4.9,262.01,2938258
2016-11-01,NY,766.664,4.9,262.45,2940107
2016-12-01,NY,767.295,4.8,264.57,2949168
2017-01-01,NY,771.621,4.7,265.52,2944348
2017-02-01,NY,773.774,4.7,266.55,2922436
2017-03-01,NY,773.542,4.7,267.15,2927021
